Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),144,0,170.0,176.6734138867226,166.22769998502918,284.23900000052527,912.9236111111111,0.48191487608955635,0.0,170,170,180,180,180,190,230,270,280,280,280
POST,[Account] Create Checking Account,48,0,180.0,205.26886666508895,168.45600001397543,293.5488999937661,18.0,0.1606382920298521,0.0,190,210,230,250,280,290,290,290,290,290,290
POST,[Account] Create Savings Account,48,0,180.0,196.34934375001953,170.44240000541322,259.5572000136599,18.0,0.1606382920298521,0.0,180,200,210,220,240,250,260,260,260,260,260
POST,[Account] Get All Accounts,48,0,170.0,177.1450541661276,164.33440000400878,220.5260999908205,587.625,0.1606382920298521,0.0,170,180,180,180,200,220,220,220,220,220,220
GET,[Account] View Account Details,566,0,150.0,154.59435724331618,149.87729999120347,270.818999997573,18.0,1.8941931935186729,0.0,150,150,150,150,160,160,160,190,270,270,270
POST,[Account] View All Accounts,453,0,170.0,171.21528123604867,164.29109999444336,283.4425999899395,593.0794701986755,1.5160238810317295,0.0,170,170,170,170,180,180,200,220,280,280,280
POST,[Auth] Login,48,22,1800.0,21926.57827083288,148.78909999970347,60152.80909999274,126.35416666666667,0.1606382920298521,0.07362588384701556,3300,42000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,[Auth] Logout,39,0,150.58469999348745,155.99604359177204,150.58469999348745,193.6827000172343,37.0,0.13051861227425485,0.0,150,160,160,160,160,160,190,190,190,190,190
POST,[Auth] Re-login,39,0,390.0,3100.006697434508,349.175599985756,43889.0402999823,96.41025641025641,0.13051861227425485,0.0,390,400,420,450,680,32000,44000,44000,44000,44000,44000
POST,[Auth] Register User,400,352,60000.0,44907.16842250039,305.64249999588355,60350.695899978746,156.95,1.338652433582101,1.178014141552249,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
PUT,[Auth] Update Profile,55,1,400.0,3161.2934236356523,335.7227999949828,60148.98460000404,97.85454545454546,0.18406470961753887,0.0033466310839552526,400,430,460,480,800,33000,54000,60000,60000,60000,60000
POST,[Loan] Submit Application (Cloud Function),79,0,290.0,306.49118860697234,239.56869999528863,1595.8008999878075,44.0,0.26438385563246497,0.0,290,300,310,310,350,390,500,1600,1600,1600,1600
POST,[Loan] View History (Cloud Function),111,0,190.0,200.41612162137287,183.67560001206584,621.0227999836206,265.036036036036,0.371476050319033,0.0,190,190,190,190,200,210,430,600,620,620,620
POST,[Transaction] Internal Transfer,278,0,290.0,299.46872518071655,225.10529999271967,793.894000002183,68.12949640287769,0.9303634413395602,0.0,290,300,310,320,360,390,460,590,790,790,790
POST,[Transaction] View History,349,0,190.0,196.85599885305209,183.809400012251,562.0747999928426,289.12320916905446,1.1679742483003832,0.0,190,190,190,200,210,240,260,290,560,560,560
,Aggregated,2705,375,190.0,7294.970406912858,148.78909999970347,60350.695899978746,248.58299445471349,9.052637082098958,1.2549866564832197,190,240,300,320,60000,60000,60000,60000,60000,60000,60000
