Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),900,0,180.0,184.04759166658752,167.593999998644,1306.5497000061441,912.5222222222222,3.0099170583483286,0.0,180,180,180,180,190,200,220,250,1300,1300,1300
POST,[Account] Create Checking Account,300,18,390.0,765.5164046667051,148.65950000239536,3869.008200010285,30.3,1.0033056861161094,0.06019834116696657,390,820,1300,1500,1800,2100,2400,3800,3900,3900,3900
POST,[Account] Create Savings Account,300,20,370.0,854.6056766654752,148.88999998220243,4006.516699999338,33.026666666666664,1.0033056861161094,0.06688704574107396,370,1300,1600,1600,1800,2300,3000,3900,4000,4000,4000
POST,[Account] Get All Accounts,300,24,230.0,529.8987963335821,147.86189998267218,2809.7468000196386,522.0633333333334,1.0033056861161094,0.08026445488928875,230,450,890,980,1200,1500,2100,2800,2800,2800,2800
GET,[Account] View Account Details,3778,8,160.0,162.6400884332137,148.32300000125542,788.4108000143897,18.29433562731604,12.634962940488872,0.026754818296429585,160,160,160,160,170,180,190,210,770,790,790
POST,[Account] View All Accounts,2787,19,180.0,208.59800857536027,148.51430000271648,2936.348999995971,544.5034086831719,9.320709824018657,0.06354269345402026,180,180,190,190,200,230,740,1100,2700,2900,2900
POST,[Auth] Login,300,0,1500.0,3025.236894999107,186.37420001323335,14524.229899980128,95.83666666666667,1.0033056861161094,0.0,1500,2600,4400,5900,9400,11000,11000,12000,15000,15000,15000
POST,[Auth] Logout,179,0,160.0,207.66739888271505,151.08860001782887,3656.8207000091206,37.0,0.598639059382612,0.0,160,160,160,170,180,200,580,2700,3700,3700,3700
POST,[Auth] Re-login,178,0,220.0,267.20249719278144,188.16410002182238,5391.046900011133,96.04494382022472,0.5952947070955583,0.0,220,230,240,250,280,330,730,1200,5400,5400,5400
POST,[Auth] Register User,300,0,2100.0,4598.380923999163,353.62710000481457,18074.53610000084,95.83666666666667,1.0033056861161094,0.0,2100,4900,7300,8200,14000,15000,15000,17000,18000,18000,18000
PUT,[Auth] Update Profile,392,0,220.0,427.91645357030984,189.23229997744784,14569.005099998321,96.06122448979592,1.3109860965250497,0.0,220,240,250,260,290,380,3400,9400,15000,15000,15000
POST,[Loan] Submit Application (Cloud Function),535,0,430.0,448.0262766353934,338.98109997971915,1357.2351999755483,44.0,1.7892284735737285,0.0,430,460,470,480,510,530,610,940,1400,1400,1400
POST,[Loan] View History (Cloud Function),812,0,190.0,199.00607401520884,177.8125999844633,1785.6872999982443,302.5295566502463,2.715614057087603,0.0,190,190,190,200,200,210,220,480,1800,1800,1800
POST,[Transaction] Internal Transfer,1432,4,2400.0,3243.0868570530415,149.87870000186376,12266.608000005363,68.21438547486034,4.789112475060896,0.013377409148214793,2400,3600,4600,5400,7400,8600,11000,11000,12000,12000,12000
POST,[Transaction] View History,2081,6,860.0,1167.475239308068,147.87459999206476,4987.101400009124,245.44257568476695,6.959597109358746,0.020066113722322188,860,1400,1700,1900,2600,3400,4000,4100,4700,5000,5000
,Aggregated,14574,99,190.0,824.8203956772032,147.86189998267218,18074.53610000084,245.64663098668862,48.7405902315206,0.33109087641831614,190,280,530,940,2100,3800,7100,8900,15000,18000,18000
