Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,[ATM] Search Locations (Cloud Function),50,0,170.0,174.5577580027748,169.68419999466278,187.986600009026,910.26,0.2626196928979846,0.0,170,170,180,180,180,180,190,190,190,190,190
POST,[Account] Create Checking Account,29,0,190.0,208.5806482776614,172.55909999948926,340.9209000237752,18.0,0.15231942188083106,0.0,190,220,230,250,260,340,340,340,340,340,340
POST,[Account] Create Savings Account,29,0,180.0,186.3325482760235,172.53439998603426,230.4537000018172,18.0,0.15231942188083106,0.0,180,190,200,200,210,210,230,230,230,230,230
POST,[Account] Get All Accounts,29,0,170.0,177.2277482769227,169.0006999997422,190.1728000084404,588.3448275862069,0.15231942188083106,0.0,170,180,180,180,190,190,190,190,190,190,190
GET,[Account] View Account Details,175,0,150.0,153.79108057091278,149.64029999100603,169.64880001614802,18.0,0.9191689251429461,0.0,150,150,150,150,160,160,160,160,170,170,170
POST,[Account] View All Accounts,123,0,170.0,173.05734227610208,166.50719998870045,190.9929999965243,591.170731707317,0.6460444445290421,0.0,170,170,170,180,180,180,190,190,190,190,190
POST,[Auth] Login,29,15,60000.0,34361.54734827819,537.9857000079937,60153.74270000029,132.3793103448276,0.15231942188083106,0.07878590786939538,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
POST,[Auth] Logout,9,0,160.0,882.8830444448007,154.24510001321323,5766.393300000345,37.0,0.04727154472163723,0.0,160,160,160,1100,5800,5800,5800,5800,5800,5800,5800
POST,[Auth] Re-login,9,0,390.0,422.1393666715206,369.4291999854613,579.4859000016004,95.33333333333333,0.04727154472163723,0.0,390,390,420,480,580,580,580,580,580,580,580
POST,[Auth] Register User,300,271,60000.0,57547.07710933195,10300.761899998179,60340.145099995425,160.15333333333334,1.5757181573879075,1.4233987355070765,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
PUT,[Auth] Update Profile,15,0,410.0,2453.0364533362444,351.9111000059638,30879.212900006678,96.8,0.07878590786939538,0.0,410,450,470,480,490,31000,31000,31000,31000,31000,31000
POST,[Loan] Submit Application (Cloud Function),23,0,350.0,385.90302608866733,283.88540001469664,863.8011000002734,44.0,0.12080505873307291,0.0,350,370,390,390,430,690,860,860,860,860,860
POST,[Loan] View History (Cloud Function),38,0,190.0,194.22985263027888,183.450599986827,250.057299999753,106.52631578947368,0.1995909666024683,0.0,190,190,190,190,200,230,250,250,250,250,250
POST,[Transaction] Internal Transfer,74,0,330.0,337.1097932430456,271.17019999423064,588.0340000148863,67.29729729729729,0.3886771454890172,0.0,330,350,360,370,380,400,460,590,590,590,590
POST,[Transaction] View History,106,0,190.53510000230744,197.67991698128478,190.53510000230744,267.8621999802999,134.70754716981133,0.5567537489437273,0.0,190,200,200,200,200,210,220,270,270,270,270
,Aggregated,1038,286,200.0,17769.580849518225,149.64029999100603,60340.145099995425,210.33718689788054,5.45198482456216,1.5021846433764718,200,400,60000,60000,60000,60000,60000,60000,60000,60000,60000
